english,french,gender,ambiguity,stereotype,occupation,label
"Taylor, a cashier in a large store, ensures that each client receives quality service. Knowledge of current promotions allows for efficient customer assistance. Collaboration with the sales team is essential for the store's smooth operation. She is known for her professionalism and service-oriented mindset.","Taylor, caissière dans un grand magasin, s'assure que chaque client bénéficie d'un service de qualité. La connaissance des promotions en cours permet de renseigner les clients efficacement. La collaboration avec l'équipe de vente est essentielle pour le bon fonctionnement du magasin. Elle est reconnue pour son professionnalisme et son sens du service.",female,long unambiguous,female-stereotyped,['caissier' 'caissière' 'caissier.ère'],1
A mechanic checks oil and coolant levels before starting a general maintenance.,Un.e mécanicien.ne contrôle les niveaux d’huile et de liquide de refroidissement avant de démarrer une révision générale.,inclusive,ambiguous,male-stereotyped,['mécanicien' 'mécanicienne' 'mécanicien.ne'],1
"A logger is responsible for maintaining tools, such as saws and chainsaws, to ensure their efficiency.","Un.e bûcheron.ne est responsable de l'entretien de ses outils, comme les scies et les tronçonneuses, pour assurer leur efficacité.",inclusive,ambiguous,male-stereotyped,['bûcheron' 'bûcheronne' 'bûcheron.ne'],1
A construction machine operator supervised the installation of a drill to bore deep foundations into rocky terrain. Their expertise ensured tight deadlines were met.,Un.e conducteur.rice de machine de construction a supervisé l’installation d’une foreuse pour percer des fondations profondes dans un terrain rocheux. Son expertise a permis de respecter les délais serrés.,inclusive,unambiguous,male-stereotyped,"['conducteur de machine de construction'
 'conductrice de machine de construction'
 'conducteur.rice de machine de construction']",1
The quality technician supervised an analysis of non-compliant products. She presented her findings to management.,La technicienne qualité a supervisé une analyse des produits non conformes. Elle a présenté ses conclusions à la direction.,female,unambiguous,gender-balanced,['technicien qualité' 'technicienne qualité' 'technicien.ne qualité'],0
A special education teacher collaborates with families to create tailored solutions for young people's needs.,Un.e éducateur.rice spécialisé.e collabore avec les familles pour élaborer des solutions adaptées aux besoins des jeunes.,inclusive,ambiguous,gender-balanced,"['éducateur spécialisé' 'éducatrice spécialisée'
 'éducateur.rice spécialisé.e']",0
The career counselor attends job forums to gather useful information for students.,Le conseiller en orientation participe à des forums métiers pour recueillir des informations utiles aux élèves.,male,ambiguous,gender-balanced,"['conseiller en orientation' 'conseillère en orientation'
 'conseiller.ère en orientation']",0
A daycare worker helps children develop motor skills through adapted exercises. He tailors activities to their abilities.,Un employé de crèche aide les enfants à développer leur motricité avec des exercices adaptés. Il ajuste les activités selon leurs capacités.,male,unambiguous,female-stereotyped,['employé de crèche' 'employée de crèche' 'employé.e de crèche'],1
A pharmacist will be responsible for checking medical prescriptions before dispensing medications.,Un.e pharmacien.ne sera chargé.e de vérifier les prescriptions médicales avant la délivrance des médicaments.,inclusive,ambiguous,female-stereotyped,['pharmacien' 'pharmacienne' 'pharmacien.ne'],1
This accounting employee is known for his thoroughness in account analysis.,Cet employé en comptabilité est connu pour sa rigueur dans l’analyse des comptes.,male,unambiguous,female-stereotyped,"['employé en comptabilité' 'employée en comptabilité'
 'employé.e en comptabilité']",1
A plumber regularly trains to master the new technologies used in modern boilers.,Un.e plombier.ère se forme régulièrement pour maîtriser les nouvelles technologies utilisées dans les chaudières modernes.,inclusive,ambiguous,male-stereotyped,['plombier' 'plombière' 'plombier.ère'],1
A joiner built a spiral staircase for a modern residence. Each step was hand-adjusted to ensure a perfect finish.,Un menuisier a construit un escalier en colimaçon pour une résidence moderne. Chaque marche a été ajustée à la main pour garantir une finition parfaite.,male,ambiguous,male-stereotyped,['menuisier' 'menuisière' 'menuisier.ère'],1
This street sweeper focuses on cleaning parks and public gardens. Paths and playgrounds are maintained for the enjoyment of visitors. Raising public awareness about cleanliness is also part of his responsibilities. He helps create a pleasant environment for families and walkers.,Ce balayeur se concentre sur le nettoyage des parcs et des jardins publics. Les sentiers et les aires de jeux sont entretenus pour le plaisir des visiteurs. La sensibilisation du public à la propreté fait également partie de ses responsabilités. Il contribue à offrir un cadre agréable aux familles et aux promeneurs.,male,long unambiguous,male-stereotyped,['balayeur' 'balayeuse' 'balayeur.euse'],1
The computer scientist tests beta versions of software to detect anomalies before deployment. The results of these tests help resolve critical issues.,L’informaticienne teste des logiciels en version bêta pour détecter des anomalies avant leur déploiement. Les résultats de ces tests permettent de résoudre des problèmes critiques.,female,ambiguous,male-stereotyped,['informaticien' 'informaticienne' 'informaticien.ne'],1
